SIM STATUS,Front Ride height (inches delta),Rear ride height (inches delta),Rake angle (degs),FW,RW,UT,NS,EC,SW,Cl * A (m^2),Cd * A (m^2),L/D,Balance (front),Radiator mass flow (kg/s),Cd * A (m^2),Cl * A (m^2),Cd * A (m^2),Cl * A (m^2),Cd * A (m^2),Cl * A (m^2),Cd * A (m^2),Cl * A (m^2),Cd * A (m^2),Cl * A (m^2),Cd * A (m^2),Cl *  A (m^2)
ANALYZED,-0.25,1,0.842,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-4.19,1.85,-2.26,0.50,0.32,-1.55,0.3,-1.61,0.81,-0.78,0.07,-0.07,0.08,-0.04,0.01,-0.46,0.08
ANALYZED,-0.25,-0.75,-0.435,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-3.82,1.74,-2.2,0.42,0.35,-1.2,0.27,-1.48,0.74,-0.88,0.06,-0.04,0.08,-0.04,0.02,-0.51,0.09
ANALYZED,-0.25,0.25,0.435,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-4.04,1.8,-2.25,0.47,0.32,-1.39,0.29,-1.53,0.77,-0.86,0.07,-0.06,0.08,-0.04,0.02,-0.48,0.08
ANALYZED,-0.25,0.75,0.738,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-4.13,1.84,-2.25,0.49,0.31,-1.5,0.29,-1.59,0.8,-0.79,0.07,-0.07,0.08,-0.05,0.01,-0.47,0.09
ANALYZED,0,0.25,0.23,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-3.96,1.81,-2.19,0.44,0.34,-1.31,0.28,-1.54,0.76,-0.88,0.07,-0.06,0.08,-0.05,0.02,-0.47,0.1
ANALYZED,0,0.5,0.435,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-3.78,1.82,-2.08,0.44,0.35,-1.34,0.28,-1.56,0.79,-0.74,0.06,-0.06,0.08,-0.03,0.01,-0.43,0.09
ANALYZED,0,0.75,0.604,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-4.04,1.85,-2.19,0.47,0.32,-1.42,0.29,-1.57,0.78,-0.79,0.07,-0.07,0.08,-0.05,0.02,-0.48,0.1
ANALYZED,0,1,0.738,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-4.05,1.86,-2.17,0.48,0.32,-1.47,0.3,-1.59,0.79,-0.74,0.07,-0.07,0.08,-0.05,0.02,-0.47,0.1
ANALYZED,0,-0.25,-0.23,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-3.94,1.77,-2.22,0.41,0.34,-1.23,0.28,-1.48,0.74,-1.02,0.07,-0.05,0.08,-0.04,0.02,-0.47,0.1
ANALYZED,0,-0.5,-0.435,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-4,1.76,-2.27,0.40,0.35,-1.19,0.27,-1.48,0.74,-1.1,0.07,-0.05,0.08,-0.04,0.02,-0.47,0.09
ANALYZED,0,-0.75,-0.604,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-3.93,1.75,-2.24,0.39,0.35,-1.15,0.27,-1.48,0.74,-1.09,0.06,-0.04,0.08,-0.04,0.01,-0.46,0.09
ANALYZED,0,-1,-0.738,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-3.87,1.75,-2.21,0.37,0.36,-1.11,0.26,-1.48,0.74,-1.11,0.06,-0.03,0.08,-0.04,0.02,-0.43,0.08
BASELINE,0,0,0,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-3.97,1.79,-2.22,0.43,0.33,-1.28,0.28,-1.5,0.75,-0.95,0.07,-0.05,0.08,-0.05,0.01,-0.48,0.09
ANALYZED,0.25,0,-0.23,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-3.89,1.8,-2.15,0.40,0.35,-1.2,0.27,-1.52,0.75,-0.98,0.08,-0.05,0.08,-0.04,0.02,-0.43,0.1
ANALYZED,0.25,0.25,0,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-3.68,1.79,-2.05,0.40,0.35,-1.23,0.28,-1.54,0.77,-0.82,0.07,-0.05,0.08,-0.04,0.02,-0.4,0.1
ANALYZED,0.25,-1,-0.842,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-3.63,1.74,-2.08,0.34,0.37,-1.06,0.26,-1.47,0.72,-1.02,0.06,-0.03,0.08,-0.04,0.02,-0.36,0.08
ANALYZED,0.25,0.5,0.23,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-3.87,1.82,-2.12,0.42,0.34,-1.28,0.28,-1.54,0.76,-0.85,0.08,-0.06,0.08,-0.04,0.01,-0.43,0.1
ANALYZED,0.25,-0.75,-0.738,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-3.63,1.73,-2.1,0.33,0.35,-1.06,0.26,-1.46,0.74,-1.12,0.07,-0.02,0.08,-0.03,0.01,-0.34,0.08
ANALYZED,0.25,-0.25,-0.435,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-3.86,1.79,-2.15,0.38,0.35,-1.16,0.27,-1.51,0.75,-1.02,0.08,-0.04,0.08,-0.04,0.02,-0.42,0.09
ANALYZED,0.25,0.75,0.435,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-3.89,1.85,-2.1,0.43,0.34,-1.32,0.28,-1.58,0.78,-0.79,0.07,-0.06,0.08,-0.05,0.01,-0.44,0.1
ANALYZED,0.5,0,-0.435,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-3.45,1.78,-1.94,0.35,0.37,-1.11,0.26,-1.52,0.75,-0.84,0.07,-0.03,0.08,-0.04,0.02,-0.33,0.09
ANALYZED,0.5,0.5,0,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-3.53,1.81,-1.95,0.38,0.36,-1.19,0.27,-1.55,0.78,-0.76,0.07,-0.05,0.08,-0.04,0.02,-0.36,0.09
ANALYZED,0.5,-1,-0.923,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-3.27,1.68,-1.94,0.30,0.37,-0.99,0.25,-1.42,0.71,-0.99,0.06,-0.01,0.08,-0.04,0.02,-0.25,0.07
ANALYZED,0.5,-0.75,-0.842,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-3.4,1.73,-1.97,0.30,0.36,-1.02,0.25,-1.47,0.73,-1.01,0.07,-0.01,0.08,-0.04,0.02,-0.28,0.08
ANALYZED,0.5,-0.5,-0.738,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-3.45,1.74,-1.98,0.32,0.35,-1.05,0.26,-1.48,0.74,-0.98,0.07,-0.02,0.08,-0.04,0.02,-0.3,0.08
ANALYZED,0.5,-0.25,-0.604,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-3.42,1.77,-1.94,0.33,0.35,-1.08,0.26,-1.5,0.75,-0.88,0.07,-0.03,0.08,-0.04,0.02,-0.31,0.09
ANALYZED,0.5,0.75,0.23,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-3.5,1.82,-1.92,0.40,0.36,-1.23,0.28,-1.57,0.77,-0.67,0.06,-0.05,0.08,-0.04,0.02,-0.36,0.1
ANALYZED,0.5,1,0.435,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-3.47,1.83,-1.9,0.42,0.35,-1.28,0.28,-1.59,0.78,-0.58,0.06,-0.06,0.08,-0.04,0.02,-0.36,0.1
ANALYZED,0.75,0,-0.604,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-3.27,1.78,-1.84,0.32,0.35,-1.06,0.26,-1.52,0.76,-0.77,0.07,-0.02,0.08,-0.04,0.02,-0.28,0.08
ANALYZED,0.75,0.75,0,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-3.67,1.85,-1.98,0.38,0.34,-1.18,0.28,-1.58,0.77,-0.8,0.08,-0.06,0.08,-0.05,0.02,-0.37,0.1
ANALYZED,0.75,-1,-0.988,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-3.17,1.69,-1.88,0.27,0.38,-0.95,0.25,-1.44,0.7,-0.98,0.07,0,0.08,-0.04,0.02,-0.22,0.07
ANALYZED,0.75,0.5,-0.23,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-3.64,1.83,-1.99,0.36,0.36,-1.14,0.27,-1.56,0.76,-0.85,0.08,-0.05,0.08,-0.05,0.02,-0.36,0.1
ANALYZED,0.75,1,0.23,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-3.71,1.86,-1.99,0.39,0.34,-1.22,0.28,-1.6,0.78,-0.77,0.08,-0.06,0.08,-0.05,0.02,-0.37,0.1
ANALYZED,0.75,-0.75,-0.923,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-3.6,1.77,-2.04,0.29,0.36,-1,0.25,-1.52,0.74,-1.1,0.07,-0.02,0.08,-0.04,0.02,-0.28,0.08
ANALYZED,0.75,-0.25,-0.738,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-3.57,1.81,-1.97,0.31,0.36,-1.05,0.26,-1.54,0.76,-0.95,0.07,-0.03,0.08,-0.06,0.02,-0.32,0.08
ANALYZED,0.75,0.25,-0.435,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-3.63,1.82,-1.99,0.35,0.36,-1.12,0.27,-1.56,0.76,-0.88,0.08,-0.05,0.08,-0.05,0.02,-0.35,0.09
ANALYZED,1,0,-0.738,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-3.15,1.76,-1.79,0.30,0.36,-1.01,0.25,-1.5,0.73,-0.76,0.07,-0.02,0.08,-0.04,0.02,-0.26,0.09
ANALYZED,1,1,0,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-3.22,1.84,-1.75,0.35,0.37,-1.14,0.27,-1.58,0.77,-0.58,0.06,-0.04,0.08,-0.05,0.02,-0.29,0.09
ANALYZED,1,-0.25,-0.842,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-3.14,1.75,-1.79,0.28,0.37,-0.98,0.25,-1.48,0.73,-0.84,0.07,-0.01,0.08,-0.03,0.01,-0.24,0.08
ANALYZED,1,-0.5,-0.923,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-3.18,1.74,-1.83,0.26,0.38,-0.96,0.25,-1.47,0.72,-0.93,0.08,-0.01,0.08,-0.04,0.02,-0.23,0.07
ANALYZED,1,-0.75,-0.988,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-3.14,1.71,-1.84,0.25,0.39,-0.93,0.24,-1.45,0.7,-0.98,0.07,0,0.08,-0.04,0.02,-0.21,0.07
ANALYZED,1,-1,-1.04,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-3.01,1.65,-1.82,0.25,0.39,-0.9,0.24,-1.39,0.67,-0.96,0.07,0.01,0.08,-0.04,0.02,-0.19,0.06
